geoid,measure,year,region_type,value,moe
51023040200,material_deprivation_indicator,2017,tract,0.13307849594481,
51023040301,material_deprivation_indicator,2017,tract,0.0756659379324429,
51023040302,material_deprivation_indicator,2017,tract,0.107811080540028,
51023040401,material_deprivation_indicator,2017,tract,0.124048008209616,
51023040402,material_deprivation_indicator,2017,tract,0.122681812458096,
51023040501,material_deprivation_indicator,2017,tract,0.0642165154358812,
51023040502,material_deprivation_indicator,2017,tract,0.09759819959629,
51025930100,material_deprivation_indicator,2017,tract,0.218220156099843,
51025930201,material_deprivation_indicator,2017,tract,0.227329683912854,
51025930202,material_deprivation_indicator,2017,tract,NaN,
51025930203,material_deprivation_indicator,2017,tract,0.247784944219176,
51025930300,material_deprivation_indicator,2017,tract,0.160992009227217,
51027010100,material_deprivation_indicator,2017,tract,0.237397187914411,
51027010200,material_deprivation_indicator,2017,tract,0.20382715231086,
51027010300,material_deprivation_indicator,2017,tract,0.0887546648600314,
51027010400,material_deprivation_indicator,2017,tract,0.308001192497177,
51027010500,material_deprivation_indicator,2017,tract,0.168830682433674,
51027010600,material_deprivation_indicator,2017,tract,0.192938600350954,
51027010700,material_deprivation_indicator,2017,tract,0.137835453497907,
51029930101,material_deprivation_indicator,2017,tract,0.166365223055879,
51029930102,material_deprivation_indicator,2017,tract,0.211094498854157,
51029930201,material_deprivation_indicator,2017,tract,0.207925276395048,
51029930202,material_deprivation_indicator,2017,tract,0.248175250214198,
51031020101,material_deprivation_indicator,2017,tract,0.113288190229309,
51031020102,material_deprivation_indicator,2017,tract,0.0992273489426462,
51031020200,material_deprivation_indicator,2017,tract,0.0941503931968214,
51031020300,material_deprivation_indicator,2017,tract,0.153632562430777,
51031020401,material_deprivation_indicator,2017,tract,0.187609659499387,
51031020402,material_deprivation_indicator,2017,tract,0.1358116460824,
51031020403,material_deprivation_indicator,2017,tract,0.0678859371812444,
51031020500,material_deprivation_indicator,2017,tract,0.0903675538128241,
51031020600,material_deprivation_indicator,2017,tract,0.116829959085375,
51031020700,material_deprivation_indicator,2017,tract,0.244382796680929,
51031020800,material_deprivation_indicator,2017,tract,0.130629754160113,
51031020900,material_deprivation_indicator,2017,tract,0.151338727625856,
51033030100,material_deprivation_indicator,2017,tract,0.142868088661693,
51033030201,material_deprivation_indicator,2017,tract,0.115027504783001,
51033030202,material_deprivation_indicator,2017,tract,0.150681340581854,
51033030300,material_deprivation_indicator,2017,tract,0.130676062552485,
51033030400,material_deprivation_indicator,2017,tract,0.168397627052489,
51033030500,material_deprivation_indicator,2017,tract,0.162901048255312,
51033030600,material_deprivation_indicator,2017,tract,0.254496899207409,
51035080100,material_deprivation_indicator,2017,tract,0.180564263554803,
51035080200,material_deprivation_indicator,2017,tract,0.137415955241242,
51035080300,material_deprivation_indicator,2017,tract,0.100899477027235,
51035080400,material_deprivation_indicator,2017,tract,0.112751054837364,
51035080500,material_deprivation_indicator,2017,tract,0.13244231107587,
51035080601,material_deprivation_indicator,2017,tract,0.166274235652881,
51035080602,material_deprivation_indicator,2017,tract,0.103249378704001,
51036600100,material_deprivation_indicator,2017,tract,0.17698855070152,
51036600200,material_deprivation_indicator,2017,tract,0.154190746485652,
51036600300,material_deprivation_indicator,2017,tract,0.0816766355134976,
51037930100,material_deprivation_indicator,2017,tract,0.202326357918203,
51037930200,material_deprivation_indicator,2017,tract,0.13759848239103,
51037930300,material_deprivation_indicator,2017,tract,0.201850430497726,
51041100106,material_deprivation_indicator,2017,tract,0.0492256071622305,
51041100107,material_deprivation_indicator,2017,tract,0.298630670169156,
51041100205,material_deprivation_indicator,2017,tract,0.246077291699955,
51041100206,material_deprivation_indicator,2017,tract,0.134254158447828,
51041100208,material_deprivation_indicator,2017,tract,0.077498296892983,
51041100209,material_deprivation_indicator,2017,tract,0.108758216992126,
51041100210,material_deprivation_indicator,2017,tract,0.198628078143798,
51041100300,material_deprivation_indicator,2017,tract,0.367899211439059,
51041100403,material_deprivation_indicator,2017,tract,0.204686005118526,
51041100404,material_deprivation_indicator,2017,tract,0.509707176850479,
51041100405,material_deprivation_indicator,2017,tract,0.34495462473767,
51041100406,material_deprivation_indicator,2017,tract,0.347411783546275,
51041100407,material_deprivation_indicator,2017,tract,0.168970333246945,
51041100409,material_deprivation_indicator,2017,tract,0.0708194380347086,
51041100410,material_deprivation_indicator,2017,tract,0.271139482709529,
51041100505,material_deprivation_indicator,2017,tract,0.161290084333378,
51041100506,material_deprivation_indicator,2017,tract,0.209212674364906,
51041100507,material_deprivation_indicator,2017,tract,0.0977078815289917,
51041100508,material_deprivation_indicator,2017,tract,0.178074307219023,
51041100509,material_deprivation_indicator,2017,tract,0.118579520275672,
51041100510,material_deprivation_indicator,2017,tract,0.149028508236661,
51041100600,material_deprivation_indicator,2017,tract,0.387700722065338,
51041100701,material_deprivation_indicator,2017,tract,0.179941929221483,
51041100702,material_deprivation_indicator,2017,tract,0.185905265048933,
51041100703,material_deprivation_indicator,2017,tract,0.0858320120194587,
51041100804,material_deprivation_indicator,2017,tract,0.232753468181931,
51041100805,material_deprivation_indicator,2017,tract,0.213757040079521,
51041100806,material_deprivation_indicator,2017,tract,0.217727067540753,
51041100807,material_deprivation_indicator,2017,tract,0.167823100252779,
51041100812,material_deprivation_indicator,2017,tract,0.103906430096246,
51041100814,material_deprivation_indicator,2017,tract,0.183735776418666,
51041100815,material_deprivation_indicator,2017,tract,0.108796853837999,
51041100816,material_deprivation_indicator,2017,tract,0.144161882260117,
51041100817,material_deprivation_indicator,2017,tract,0.232015914859514,
51041100818,material_deprivation_indicator,2017,tract,0.119564929701253,
51041100819,material_deprivation_indicator,2017,tract,0.170765859721088,
51041100820,material_deprivation_indicator,2017,tract,0.183760898235019,
51041100821,material_deprivation_indicator,2017,tract,0.0666287611538501,
51041100822,material_deprivation_indicator,2017,tract,0.0836910569018387,
51041100823,material_deprivation_indicator,2017,tract,0.104359557667133,
51041100902,material_deprivation_indicator,2017,tract,0.089002918301554,
51041100907,material_deprivation_indicator,2017,tract,0.375698588698789,
51041100910,material_deprivation_indicator,2017,tract,0.155540273817207,
51041100912,material_deprivation_indicator,2017,tract,0.0995457161250596,
51041100915,material_deprivation_indicator,2017,tract,0.188441400681762,
51041100919,material_deprivation_indicator,2017,tract,0.125935329339363,
51041100920,material_deprivation_indicator,2017,tract,0.314055431911921,
51041100921,material_deprivation_indicator,2017,tract,0.172710885655618,
51041100922,material_deprivation_indicator,2017,tract,0.149017486840331,
51041100923,material_deprivation_indicator,2017,tract,0.127813286365103,
51041100924,material_deprivation_indicator,2017,tract,0.11429919481522,
51041100926,material_deprivation_indicator,2017,tract,0.111199224733384,
51041100927,material_deprivation_indicator,2017,tract,0.104120981783301,
51041100928,material_deprivation_indicator,2017,tract,0.186630955213455,
51041100929,material_deprivation_indicator,2017,tract,0.0807947767318472,
51041100930,material_deprivation_indicator,2017,tract,0.0610247615113235,
51041100931,material_deprivation_indicator,2017,tract,0.0619891558749707,
51041100932,material_deprivation_indicator,2017,tract,0.104892316838133,
51041100933,material_deprivation_indicator,2017,tract,0.13577724724834,
51041100934,material_deprivation_indicator,2017,tract,0.154522831887847,
51041100935,material_deprivation_indicator,2017,tract,0.0824249257980965,
51041100936,material_deprivation_indicator,2017,tract,0.046427432983241,
51041101003,material_deprivation_indicator,2017,tract,0.0454822010915531,
51041101004,material_deprivation_indicator,2017,tract,0.0759647540198481,
51041101007,material_deprivation_indicator,2017,tract,0.0797154810437397,
51041101008,material_deprivation_indicator,2017,tract,0.0567346640347275,
51041101009,material_deprivation_indicator,2017,tract,0.0835705465628695,
51041101010,material_deprivation_indicator,2017,tract,0.059207938735545,
51041101011,material_deprivation_indicator,2017,tract,0.0654710959398704,
51041101012,material_deprivation_indicator,2017,tract,0.204571765784243,
51041101013,material_deprivation_indicator,2017,tract,0.0880579855003221,
51043010100,material_deprivation_indicator,2017,tract,0.132938339056081,
51043010200,material_deprivation_indicator,2017,tract,0.0956761236638726,
51043010300,material_deprivation_indicator,2017,tract,0.136575477007733,
51045050100,material_deprivation_indicator,2017,tract,0.139997761312908,
51047930101,material_deprivation_indicator,2017,tract,0.221997859755035,
51047930102,material_deprivation_indicator,2017,tract,0.111231595105337,
51047930201,material_deprivation_indicator,2017,tract,0.148922771953773,
51047930202,material_deprivation_indicator,2017,tract,0.102978233793377,
51047930300,material_deprivation_indicator,2017,tract,0.300582472230288,
51047930400,material_deprivation_indicator,2017,tract,0.279560949226424,
51047930501,material_deprivation_indicator,2017,tract,0.149021771216694,
51047930502,material_deprivation_indicator,2017,tract,0.286691703219438,
51049930100,material_deprivation_indicator,2017,tract,0.202040383149167,
51049930200,material_deprivation_indicator,2017,tract,0.221293337019705,
51051040100,material_deprivation_indicator,2017,tract,0.230543089455253,
51051040200,material_deprivation_indicator,2017,tract,0.156612269047343,
